date,id,price,mktcap,liquidity,sector
2000-06-21,1,606.9999936,1286891520.0,960.0,
2000-06-22,1,594.3541604000001,1260081280.0,0.0,
2000-06-30,1,600.677077,1273486400.0,475.0,
2000-07-04,1,606.9999936,1286891520.0,14400.0,
2000-07-07,1,588.0312438000001,1246676160.0,30225.0,
2000-07-10,1,606.9999936,1286891520.0,7200.0,
2000-07-17,1,594.3541604000001,1260081280.0,940.0,
2000-07-18,1,594.3541604000001,1260081280.0,31960.0,
2000-07-19,1,594.3541604000001,1260081280.0,23500.0,
2000-07-20,1,594.3541604000001,1260081280.0,12690.0,
2000-07-21,1,594.3541604000001,1260081280.0,7050.0,
2000-07-24,1,606.9999936,1286891520.0,0.0,
2000-07-25,1,606.9999936,1286891520.0,2880.0,
2000-07-31,1,594.3541604000001,1260081280.0,23500.0,
2000-08-02,1,588.0312438000001,1246676160.0,4650.0,
2000-08-16,1,606.9999936,1286891520.0,19200.0,
2000-08-23,1,606.9999936,1286891520.0,24000.0,
2000-08-24,1,613.3229102,1300296640.0,46075.0,
2000-08-28,1,613.3229102,1300296640.0,8245.0,
2000-08-29,1,606.9999936,1286891520.0,4800.0,
2000-08-30,1,613.3229102,1300296640.0,2425.0,
2000-08-31,1,613.3229102,1300296640.0,4850.0,
2000-09-01,1,613.3229102,1300296640.0,89725.0,
2000-09-04,1,613.3229102,1300296640.0,9700.0,
2000-09-06,1,619.6458268,1313701760.0,12250.0,
2000-09-07,1,619.6458268,1313701760.0,5880.0,
2000-09-11,1,606.9999936,1286891520.0,0.0,
2000-09-28,1,619.6458268,1313701760.0,0.0,
2000-10-02,1,606.9999936,1286891520.0,0.0,
2000-10-13,1,606.9999936,1286891520.0,1920.0,
2000-10-18,1,600.677077,1273486400.0,12350.0,
2000-10-25,1,613.3229102,1300296640.0,970.0,
2000-11-02,1,600.677077,1273486400.0,7125.0,
2000-11-03,1,613.3229102,1300296640.0,0.0,
2000-11-06,1,606.9999936,1286891520.0,24480.0,
2000-11-07,1,600.677077,1273486400.0,5225.0,
2000-11-09,1,612.6906185400001,1298956128.0,0.0,
2000-11-10,1,612.6906185400001,1298956128.0,484.5,
2000-11-13,1,612.6906185400001,1298956128.0,2422.5,
2000-11-14,1,606.9999936,1286891520.0,23520.0,
2000-11-15,1,613.3229102,1300296640.0,4850.0,
2000-11-22,1,619.6458268,1313701760.0,980.0,
2000-11-27,1,619.6458268,1313701760.0,38220.0,
2000-11-30,1,625.9687434,1327106880.0,4950.0,
2000-12-06,1,619.6458268,1313701760.0,3920.0,
2000-12-11,1,625.9687434,1327106880.0,2970.0,
2000-12-14,1,632.29166,1340512000.0,500.0,
2000-12-15,1,632.29166,1340512000.0,1000.0,
2000-12-19,1,632.29166,1340512000.0,2500.0,
2000-12-22,1,632.29166,1340512000.0,21000.0,
2001-01-03,1,632.29166,1340512000.0,18500.0,
2001-01-05,1,644.9374932000001,1367322240.0,0.0,
2001-01-08,1,644.9374932000001,1367322240.0,10200.0,
2001-01-15,1,644.9374932000001,1367322240.0,1530.0,
2001-01-18,1,644.9374932000001,1367322240.0,15300.0,
2001-01-19,1,644.9374932000001,1367322240.0,1020.0,
2001-01-22,1,649.99582648,1378046336.0,3598.0,
2001-01-23,1,649.99582648,1378046336.0,10280.0,
2001-01-24,1,649.99582648,1378046336.0,5140.0,
2001-01-26,1,638.6145766000001,1353917120.0,19695.0,
2001-01-29,1,649.99582648,1378046336.0,1028.0,
2001-01-31,1,644.9374932000001,1367322240.0,5100.0,
2001-02-01,1,649.99582648,1378046336.0,7710.0,
2001-02-02,1,649.99582648,1378046336.0,1028.0,
2001-02-06,1,638.6145766000001,1353917120.0,8585.0,
2001-02-07,1,649.99582648,1378046336.0,6168.0,
2001-02-14,1,649.99582648,1378046336.0,1028.0,
2001-02-15,1,649.99582648,1378046336.0,1028.0,
2001-02-19,1,649.99582648,1378046336.0,5654.0,
2001-02-27,1,649.99582648,1378046336.0,1542.0,
2001-02-28,1,644.9374932000001,1367322240.0,510.0,
2001-03-01,1,649.99582648,1378046336.0,2570.0,
2001-03-02,1,647.46665984,1372684288.0,0.0,
2001-03-07,1,647.46665984,1372684288.0,2048.0,
2001-03-08,1,647.46665984,1372684288.0,15872.0,
2001-03-09,1,649.99582648,1378046336.0,13878.0,
2001-03-15,1,651.2604098,1380727360.0,21630.0,
2001-03-16,1,649.99582648,1378046336.0,8738.0,
2001-03-19,1,649.99582648,1378046336.0,28270.0,
2001-03-20,1,652.5249931200001,1383408384.0,1548.0,
2001-03-21,1,652.5249931200001,1383408384.0,61404.0,
2001-03-22,1,642.40832656,1361960192.0,30988.0,
2001-03-23,1,651.2604098,1380727360.0,10300.0,
2001-03-27,1,655.0541597600001,1388770432.0,94276.0,
2001-03-28,1,655.0541597600001,1388770432.0,11396.0,
2001-04-03,1,653.78957644,1386089408.0,0.0,
2001-04-04,1,642.40832656,1361960192.0,15240.0,
2001-04-09,1,655.0541597600001,1388770432.0,10878.0,
2001-04-10,1,655.0541597600001,1388770432.0,24346.0,
2001-04-11,1,657.58332657,1343193024.0,5010.0,
2001-04-12,1,656.270785,1340512000.0,18500.0,
2001-04-18,1,656.270785,1340512000.0,20000.0,
2001-04-23,1,656.270785,1340512000.0,5000.0,
2001-04-24,1,656.270785,1340512000.0,2000.0,
2001-04-27,1,660.2084097100001,1348555072.0,20120.0,
2001-04-30,1,660.2084097100001,1348555072.0,10060.0,
2001-05-03,1,660.2084097100001,1348555072.0,1006.0,
2001-05-04,1,647.08299401,1321744832.0,17748.0,
2001-05-07,1,656.270785,1340512000.0,5000.0,
2001-05-11,1,661.5209512800001,1351236096.0,5040.0,
2001-05-14,1,661.5209512800001,1351236096.0,20160.0,
2001-05-17,1,661.5209512800001,1351236096.0,9576.0,
2001-05-18,1,649.70807715,1327106880.0,6930.0,
2001-05-25,1,662.83349285,1353917120.0,1515.0,
2001-05-28,1,662.83349285,1353917120.0,4040.0,
2001-05-29,1,652.33316029,1332468928.0,4970.0,
2001-05-30,1,652.33316029,1332468928.0,4970.0,
2001-05-31,1,662.83349285,1353917120.0,5050.0,
2001-06-06,1,662.83349285,1353917120.0,5050.0,
2001-06-08,1,669.3962007,1367322240.0,33150.0,
2001-06-11,1,665.45857599,1359279168.0,0.0,
2001-06-14,1,665.45857599,1359279168.0,1014.0,
2001-06-15,1,656.270785,1340512000.0,2500.0,
2001-06-18,1,656.270785,1340512000.0,5000.0,
2001-06-19,1,665.45857599,1359279168.0,20280.0,
2001-06-20,1,656.270785,1340512000.0,1000.0,
2001-06-21,1,665.45857599,1359279168.0,507.0,
2001-06-26,1,665.45857599,1359279168.0,5070.0,
2001-06-27,1,665.45857599,1359279168.0,2028.0,
